country,region,year,year_normalized,vehicle_segment,ev_sales(units),petrol_car_sales(units),diesel_car_sales(units),ice_total_sales(units),total_vehicle_sales(units),ev_ice_ratio,ev_market_share(%),market_share_change(%),charging_stations(units),fast_chargers_share(%),chargers_per_ev_ratio,average_ev_range(km),fuel_price(usd/ltr),electricity_price(usd/kwh),fuel_to_electric_ratio,gdp(usd/person),urban_population(%),co2_emissions(mt),ev_subsidy(usd),emission_regulation(scale_0-100),ev_growth_rate_yoy(%),ev_growth_rate_category,ev_domination(0/1),economic_index,policy_index,policy_index_lagged_1y,environmental_stringency_ratio
Australia,Oceania,2010,0,commercial,5,92877,61921,154798,154803,3.230015891678187e-05,0.0,0.0,0,0.0,0.0,124,1.09,0.149,7.3154362416107395,51977,88.8,88.7,0,30.4,0.0,Decline,0,4615.557599999999,0.0,0.0,2.8248407643312103
Australia,Oceania,2010,0,mass_market,57,535933,73089,609022,609079,9.359267809701456e-05,0.01,0.0,0,0.0,0.0,124,1.09,0.149,7.3154362416107395,51977,88.8,88.7,0,30.4,0.0,Decline,0,4615.557599999999,0.0,0.0,2.8248407643312103
Australia,Oceania,2010,0,premium,37,235282,20462,255744,255781,0.00014467592592592592,0.01,0.0,0,0.0,0.0,124,1.09,0.149,7.3154362416107395,51977,88.8,88.7,0,30.4,0.0,Decline,0,4615.557599999999,0.0,0.0,2.8248407643312103
Australia,Oceania,2011,1,commercial,11,98092,65395,163487,163498,6.728363723109482e-05,0.01,0.01,105,1.5,9.545454545454545,133,1.09,0.163,6.687116564417178,52807,88.9,88.3,0,30.8,120.0,Extraordinary Growth,0,4694.542300000001,0.0,0.0,2.7767295597484276
Australia,Oceania,2011,1,mass_market,129,569679,77684,647363,647492,0.00019926996136634316,0.02,0.01,105,1.5,0.813953488372093,133,1.09,0.163,6.687116564417178,52807,88.9,88.3,0,30.8,126.32,Extraordinary Growth,0,4694.542300000001,0.0,0.0,2.7767295597484276
Australia,Oceania,2011,1,premium,80,252643,21969,274612,274692,0.00029132011711068706,0.03,0.019999999999999997,105,1.5,1.3125,133,1.09,0.163,6.687116564417178,52807,88.9,88.3,0,30.8,116.22,Extraordinary Growth,0,4694.542300000001,0.0,0.0,2.7767295597484276
Australia,Oceania,2012,2,commercial,17,96466,64310,160776,160793,0.00010573717470269195,0.01,0.0,191,3.3,11.235294117647058,135,1.067,0.177,6.028248587570621,54075,88.5,89.5,0,31.6,84.39,Fast Growth,0,4785.6375,0.0,0.0,2.745398773006135
Australia,Oceania,2012,2,mass_market,195,571555,77939,649494,649689,0.00030023372040388364,0.03,0.009999999999999998,191,3.3,0.9794871794871794,135,1.067,0.177,6.028248587570621,54075,88.5,89.5,0,31.6,51.16,Fast Growth,0,4785.6375,0.0,0.0,2.745398773006135
Australia,Oceania,2012,2,premium,117,246448,21430,267878,267995,0.00043676599048820733,0.04,0.010000000000000002,191,3.3,1.6324786324786325,135,1.067,0.177,6.028248587570621,54075,88.5,89.5,0,31.6,77.82,Fast Growth,0,4785.6375,0.0,0.0,2.745398773006135
Australia,Oceania,2013,3,commercial,36,101461,67640,169101,169137,0.00021289052104955027,0.02,0.01,306,5.0,8.5,143,1.033,0.192,5.380208333333333,55582,89.6,90.0,0,33.2,93.1,Fast Growth,0,4980.147199999999,0.0,0.0,2.631578947368421
Australia,Oceania,2013,3,mass_market,400,586920,80035,666955,667355,0.0005997406121852299,0.06,0.03,306,5.0,0.765,143,1.033,0.192,5.380208333333333,55582,89.6,90.0,0,33.2,105.13,Extraordinary Growth,0,4980.147199999999,0.0,0.0,2.631578947368421
Australia,Oceania,2013,3,premium,242,256088,22269,278357,278599,0.0008693871539066738,0.09,0.049999999999999996,306,5.0,1.2644628099173554,143,1.033,0.192,5.380208333333333,55582,89.6,90.0,0,33.2,106.84,Extraordinary Growth,0,4980.147199999999,0.0,0.0,2.631578947368421
Australia,Oceania,2014,4,commercial,53,100760,67173,167933,167986,0.0003156020555816903,0.03,0.009999999999999998,408,6.5,7.69811320754717,151,0.993,0.207,4.797101449275362,54940,89.5,92.3,0,33.2,68.9,Fast Growth,0,4917.13,0.0,0.0,2.698830409356725
Australia,Oceania,2014,4,mass_market,615,601126,81972,683098,683713,0.0009003100580004626,0.09,0.03,408,6.5,0.6634146341463415,151,0.993,0.207,4.797101449275362,54940,89.5,92.3,0,33.2,53.75,Fast Growth,0,4917.13,0.0,0.0,2.698830409356725
Australia,Oceania,2014,4,premium,367,258559,22483,281042,281409,0.0013058546409433465,0.13,0.04000000000000001,408,6.5,1.111716621253406,151,0.993,0.207,4.797101449275362,54940,89.5,92.3,0,33.2,51.65,Fast Growth,0,4917.13,0.0,0.0,2.698830409356725
Australia,Oceania,2015,5,commercial,77,101833,67888,169721,169798,0.0004536857548564998,0.05,0.020000000000000004,562,8.2,7.298701298701299,180,0.983,0.216,4.550925925925926,57259,89.3,93.3,0,36.2,65.46,Fast Growth,0,5113.228700000001,0.0,0.0,2.508064516129032
Australia,Oceania,2015,5,mass_market,894,604172,82387,686559,687453,0.0013021459189960368,0.13,0.04000000000000001,562,8.2,0.6286353467561522,180,0.983,0.216,4.550925925925926,57259,89.3,93.3,0,36.2,45.37,Moderate Growth,0,5113.228700000001,0.0,0.0,2.508064516129032
Australia,Oceania,2015,5,premium,542,263800,22939,286739,287281,0.0018902207233756133,0.19,0.06,562,8.2,1.03690036900369,180,0.983,0.216,4.550925925925926,57259,89.3,93.3,0,36.2,47.68,Moderate Growth,0,5113.228700000001,0.0,0.0,2.508064516129032
Australia,Oceania,2016,6,commercial,105,106179,70786,176965,177070,0.0005933376656400984,0.06,0.009999999999999995,1017,10.2,9.685714285714285,193,1.003,0.218,4.60091743119266,55712,88.9,95.3,0,36.6,42.88,Moderate Growth,0,4952.796800000001,0.0,0.0,2.5345744680851063
Australia,Oceania,2016,6,mass_market,1201,620584,84625,705209,706410,0.0017030412260762413,0.17,0.04000000000000001,1017,10.2,0.8467943380516236,193,1.003,0.218,4.60091743119266,55712,88.9,95.3,0,36.6,34.34,Moderate Growth,0,4952.796800000001,0.0,0.0,2.5345744680851063
Australia,Oceania,2016,6,premium,716,266718,23193,289911,290627,0.00246972346685707,0.25,0.06,1017,10.2,1.420391061452514,193,1.003,0.218,4.60091743119266,55712,88.9,95.3,0,36.6,32.1,Moderate Growth,0,4952.796800000001,0.0,0.0,2.5345744680851063
Australia,Oceania,2017,7,commercial,198,109622,73081,182703,182901,0.0010837260471913434,0.11,0.05,1540,10.9,7.777777777777778,220,1.05,0.218,4.81651376146789,56382,88.0,96.2,0,38.5,88.57,Fast Growth,0,4961.616,0.0,0.0,2.4354430379746836
Australia,Oceania,2017,7,mass_market,2220,628305,85678,713983,716203,0.0031093177288534883,0.31,0.13999999999999999,1540,10.9,0.6936936936936937,220,1.05,0.218,4.81651376146789,56382,88.0,96.2,0,38.5,84.85,Fast Growth,0,4961.616,0.0,0.0,2.4354430379746836
Australia,Oceania,2017,7,premium,1337,272461,23692,296153,297490,0.0045145583532836065,0.45,0.2,1540,10.9,1.1518324607329844,220,1.05,0.218,4.81651376146789,56382,88.0,96.2,0,38.5,86.73,Fast Growth,0,4961.616,0.0,0.0,2.4354430379746836
